month,rp_div,dp,dy,ep,de,svar,bm,ntis,tbl,lty,ltr,tms,dfy,infl
1957-03-01,0.03244397995815577,-3.2385651056071607,-3.2191070120152254,-2.5629110824947325,-0.6756540231124281,3.302976e-4,0.5998188749,0.0265995947,0.0308,0.0331,-0.0024,0.0022999999999999965,0.0076999999999999985,0.0036101083
1957-04-01,0.03238572628734118,-3.2748517800849477,-3.2385651056071607,-2.5972291077992447,-0.6776226722857029,3.024601e-4,0.5760983898,0.0274205931,0.0307,0.0345,-0.0222,0.0038000000000000013,0.0076999999999999985,0.0035971223
1957-05-01,-0.003618374497080396,-3.3111335313798027,-3.2748517800849477,-2.6315753746189223,-0.6795581567608805,4.817712e-4,0.5640385796,0.0288486546,0.0306,0.0348,-0.0023,0.004199999999999999,0.0077999999999999944,0.0035842294
1957-06-01,0.008143846710908304,-3.3098677084259727,-3.3111335313798027,-2.6283485658611463,-0.6815191425648263,5.786214e-4,0.5658765324,0.0305276914,0.0329,0.0361,-0.018,0.0032000000000000015,0.007199999999999998,0.0035714286
1957-07-01,-0.05798617065086505,-3.315439137668593,-3.3041040037092224,-2.6348125422602626,-0.6806265954083307,5.538677e-4,0.5600566349,0.0323460398,0.0316,0.0365,-0.0041,0.004899999999999995,0.007400000000000004,0.0071174377
1957-08-01,-0.06383352789419869,-3.2519236789144013,-3.309708462959608,-2.572209171242835,-0.6797145076715663,0.0021472482,0.5880045422,0.0358539895,0.0337,0.0367,2e-4,0.0030000000000000027,0.007199999999999998,0
1957-09-01,-0.033929209476716564,-3.182306140086476,-3.2462256577997635,-2.5034653551777684,-0.6788407849087075,0.0015171099,0.624150778,0.0343625225,0.0353,0.0364,0.0076,0.0011000000000000038,0.008099999999999996,0
1957-10-01,0.012726059165357757,-3.1440548650050495,-3.1766404025507984,-2.4805227029560193,-0.6635321620490305,0.0049360114,0.6457464176,0.0384097165,0.0358,0.0369,-0.005,0.0011000000000000038,0.008899999999999998,0
1957-11-01,-0.04274030656594045,-3.154367265828578,-3.1384210472867937,-2.5062350809913667,-0.6481321848372114,0.0034900785,0.6330717763,0.0409898136,0.0331,0.034,0.0533,9.00000000000005e-4,0.010099999999999998,0.0035335689
1957-12-01,0.03716311290668052,-3.1064138030060633,-3.148765010279908,-2.4737166784944566,-0.6326971245116068,0.0012514024,0.6536757786,0.034873147,0.0304,0.0323,0.0307,0.0019000000000000024,0.012199999999999996,0
1958-01-01,-0.02133004167720204,-3.1520355483284255,-3.1101638423823963,-2.538611027221801,-0.613424521106624,7.844653e-4,0.6328607617,0.0298961799,0.0244,0.033,-0.0084,0.0086,0.012300000000000005,0.0070422535
